HPRNummer;Personnummer;Fornavn;Mellomnavn;Etternavn;Fødselsdato;Dødsdato;Kjønn;SistOppdatert;Statsborgerskap;Adresse;Postnummer;Poststed;Land
1001795;12128116514;REMI CHRISTOPHER;;QARLIK;1981.12.12 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;KORNMOENGA 21;1413;TÅRNÅSEN;
1001809;13107710285;ALLIS PAULINE;;HORG;1977.10.13 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;;7350;BUVIKA;
1001817;08117109543;PEDER GUNVALD;;RAZANAUSKAS;1971.11.08 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;NILSGARDEN 2;6050;VALDERØYA;
1001833;24128722943;HAAKON JUST;;JURCENKO;1987.12.24 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;ERLING SKJALGSSONS G. 23 A;0267;OSLO;
1001841;11085803419;GUNILLA ANN;;DORSEY;1958.08.11 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;GRØNLIA 11;9770;MEHAMN;
1001876;23095842615;BIRGIT ELINE;RADOSLAVOVA;BORGSTRÖM;1958.09.23 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;HASSELBAKKEN 23;1359;EIKSMARKA;
1001884;25087828819;ANN JUDITH;VIKESLAND;HYC;1978.08.25 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;TROLLVEIEN 7;4315;SANDNES;
1001914;20025604696;BIANCA LOUISE;BEDARD;WADSTRØM-EINARSEN;1956.02.20 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SAMAGATA 10;9404;HARSTAD;
1001930;61097821525;INGVAR THOR;;WAMLI;1978.09.21 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;KONINGSSPIL 12 9422 LM SMILDE NEDERLAND;;;landkoder:NL
1001949;07085804841;LIV EUGENIE;HUMBLEN;ALFSHUS;1958.08.07 00:00:00;;kjonn:0;2013.10.07 11:06:00;;HATLASVINGEN 7;6016;ÅLESUND;
1001965;20125525785;MAGNE TORE;;BLACK;1955.12.20 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;C/O VILFRED BARBALA HAMRANVEIEN 44 A;4580;LYNGDAL;
1002023;29027640794;TORE CATO;;GEOGHEGAN;1976.02.29 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SØNSTERUDVEIEN 2 A;1410;KOLBOTN;
1002058;16065702871;MAXINE JOY;BRIMI;NAGRA;1957.06.16 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;VALLERENGA 2;1337;SANDVIKA;
1002082;26045018074;RONJA ISABELLA;;TORABAS;1950.04.26 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;VOLL;6386;MÅNDALEN;
1002090;62038712948;KONRAD AUGUST;EIKILL;BILTVEDT;1987.03.22 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;C/O TOKVAM A/S 2840 REINSVOLL;2840;REINSVOLL;
1002104;03018602716;RUDI JOHAN;BJØRNEBOE;RAUDI;1986.01.03 00:00:00;;kjonn:1;2015.09.10 16:07:50;landkoder:NO;HØIETUN 246;4619;MOSBY;
1002112;11127116557;TRON KJETIL;;STANG-LUND;1971.12.11 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SMIDSRØDVEIEN 126;3140;NØTTERØY;
1002121;02035848374;BERNT EIVIND;BREILAND;SKODMINAS;1958.03.02 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SPINNESIDEN 51;1536;MOSS;
1002139;03028147588;TONY ERIK;AASLID;ESGRINA;1981.02.03 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;NORDRE NESJAVEGEN 37;5108;HORDVIK;
1002201;27024009926;JUNUZ;;DREVON;1940.02.27 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SCHWENCKEGATA 31;3015;DRAMMEN;
1002244;26024710806;JUSTYNA MONIKA;;BJÖRNSDOTTIR;1947.02.26 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SOLLISVINGEN 7;2870;DOKKA;
1002252;15066218519;THOTSAPORN;NÆSGUTHE;SETZNAGL;1962.06.15 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;DBO V/INGRID EMILIE DAHL ROSENLUNDVEIEN 6 1406 SKI;1406;SKI;
1002260;02028042550;THORD GUNNAR;;JEMIOL;1980.02.02 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SKIPPERGATEN 5;1630;GAMLE FREDRIKSTAD;
1002279;04127724631;GURO KARINE;ULE;JØNSI;1977.12.04 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SKOLEGATA 4 H;9800;VADSØ;
1002287;07017419662;DUANGRUEDEE;;SZKLARZ;1974.01.07 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;KVITBERGVEIEN 6;8530;BJERKVIK;
1002295;28127220370;ARVE KENNETH;;RÅDSTOGA;1972.12.28 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BREGNEVEIEN 35 B;0855;OSLO;
1002317;27055917944;EGIL SIGBJØRN;;KAMANDA;1959.05.27 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;NEDRE HOLMEGATE 9 B;4006;STAVANGER;
1002325;25075122570;IOSIF-EMANUEL;;CHYZYNSKI;1951.07.25 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;KYLLESVEIEN 96;4308;SANDNES;
1002392;02105203813;ANNE JORID;;PAPIS-LUNDSTADSVEEN;1952.10.02 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;KILDEVEGEN 7;2380;BRUMUNDDAL;
1002406;26045021059;MONICA ELISA;;INGBRE;1950.04.26 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;ETTERSTADSLETTA 118;0659;OSLO;
1002414;29124443197;MARTIN ROY;;LYVOR;1944.12.29 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;PAAL BERGS VEG 13;2819;GJØVIK;
1002422;15028114815;NIVETHIKA;;CAMILLERI;1981.02.15 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SALTNESVEIEN 454;1640;RÅDE;
1002457;06105217682;BERIT MARGRETA;;TADESE;1952.10.06 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SELVBYGGERVEIEN 46;0591;OSLO;
1002465;29058616999;ODD RUDI;JAVNES;RINGVEI;1986.05.29 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;;7374;RØROS;
1002473;29047730803;RUTT JORUN;;HØGETVEIT;1977.04.29 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;KNUD GRAAHS GATE 2;0481;OSLO;
1002481;13124100121;JOUNI ANTERO;;SACLI;1941.12.13 00:00:00;;kjonn:1;2013.10.07 11:06:00;;HOV ALLE 13 D;3515;HØNEFOSS;
1002503;16106229817;METTE KATHRINE;;ATTEMALM;1962.10.16 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;;6430;BUD;
1002511;06116936192;GUSTAV SIGURD;;SALVOSA;1969.11.06 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;RANHEIMSVEGEN 146 C;7053;RANHEIM;
1002538;03037608296;SIW MARIANN;;DUVALAND;1976.03.03 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;REFSTAD ALLÉ 22;0586;OSLO;
1002546;01015346198;KRISTIAN EDGAR;;DRAGSTEN;1953.01.01 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SVENSKEBERGET 35;1673;KRÅKERØY;
1002554;43107428594;KAI EGON;BJERKREIM;REAGAN;1974.10.03 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;D BO V/HELGE HAUKELI MOVEGEN 49 2770 JAREN;2770;JAREN;
1002570;30048506026;SONJA JOY;;POIRÉE;1985.04.30 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;UTTRÅGATA 33;5700;VOSS;
1002627;14015509113;TROY MAGNE;;OLEJNIK;1955.01.14 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;GRANHAUGEN 7;7355;EGGKLEIVA;
1002678;27117708263;ANDREA VALENTINA;;BASSØE;1977.11.27 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;LÆRARGATA 12;6899;BALESTRAND;
1002686;18046009769;SHYAM;TIMRAZ;STANIORSKI;1960.04.18 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;MÅRSTIEN 8 B;5517;HAUGESUND;
1002694;27038717583;BJØRN SIMEN;;CHANTEPERDRIX;1987.03.27 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;LIVEIEN 418;3275;SVARSTAD;
1002708;30125004004;ULRICA ELISABETH;;ROSCHER;1950.12.30 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;OSCARS GATE 79;0256;OSLO;
1002716;30098646481;MUNA YUSUF;SUNDNES;FLAMROS;1986.09.30 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;NORDLYSBRÅTET 10 C;4016;STAVANGER;
1002724;27056806933;PÄR JOAKIM;;TUPIKOVSKIS;1968.05.27 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SOGSTIKOLLEN 42 B;1440;DRØBAK;
1002740;21018623851;KIMIE;;ROMANYUK;1986.01.21 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;HURDALSGATA 79 B;2003;LILLESTRØM;
1002759;30115620386;THORE OSKAR;SANDØY;ABAD;1956.11.30 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;STRANDÅSEN 18;4638;KRISTIANSAND S;
1002783;06125937029;NICOLE JANE;;WALMESTAD;1959.12.06 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;BJØRKLUNDS GATE 3;3513;HØNEFOSS;
1002791;11035140427;IDUN KJELLAUG;;MIKIASHVILI;1951.03.11 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;LEIL.106 ROMMISKOGEN 3;0962;OSLO;
1002805;64114600987;HELGE KJARTAN;KJELSNES;VEGSTAD;1946.11.24 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;TEGLVÆNGET 5, 4 TV 9000 AALBORG DANMARK;;;
1002813;14115323556;KENO;;KUNZENDORF;1953.11.14 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;ANDREAS FIMLANDSVEGEN 6;6900;FLORØ;
1002848;27018107606;TORHILD KARI;;PRATHEEP;1981.01.27 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;GALGEBERG 3 H;0657;OSLO;
1002856;07128416239;XIAO DAN;;ORUCEVIC;1984.12.07 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;BØENSTUNET 25;3660;RJUKAN;
1002864;01085937126;DHAMODHARAN;;NTWARI;1959.08.01 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SPANNAVEGEN 490;5542;KARMSUND;
1002872;23027414923;JOHAN ERLAND;NOREMSAUNE;PAMPEY;1974.02.23 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;GRASSKARET 1;6429;MOLDE;
1002880;23034805067;EDNY JOHANNA;;NERBY;1948.03.23 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;KONVALLVEGEN 17;3684;NOTODDEN;
1002899;20066229018;MUNEVERA;;AAKVIK;1962.06.20 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;BREKKEVEIEN 3 E;1430;ÅS;
1002910;18115206350;JOHANNES FREDERICUS;;KORSELL;1952.11.18 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;HOMSJØVEGEN 97;2217;HOKKÅSEN;
1002929;17114813648;UBAH ABDULLAHI;;KOZIC;1948.11.17 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SOLBAKKEN 6;9006;TROMSØ;
1002937;19027411072;JORUNN ARNHILD;;KALSVEEN;1974.02.19 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;EKORNTOPPEN 5;3790;HELLE;
1002945;23034600643;MARGIT OTHELIE;;SARVANANDAN;1946.03.23 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;GRENLANDSGATA 5;3915;PORSGRUNN;
1002953;21054305599;KARL JOHAN GUNNAR;;HARKJÆR;1943.05.21 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;KLOPPEDALSVEGEN 3;5232;PARADIS;
1002988;25058120998;SVEN JOACHIM;;INNSTØ;1981.05.25 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;L-21 BRØSETVEGEN 159 B;7050;TRONDHEIM;
1002996;09038215180;PIOTR HUBERT;;DYRESEN;1982.03.09 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;RÅVARDEN 239;5239;RÅDAL;
1003011;55108725043;MARCIA LOUISE;;HAAVEN;1987.10.15 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;V/KAREN N VIK 5454 SÆBØVIK;5454;SÆBØVIK;
1003054;41058635160;MUBASHER;;KSIEZNIAKIEWICZ;1986.05.01 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;SPEJAREGATAN 22 532 36 SKARA SVERIGE;;;landkoder:SE
1003062;27124512005;HILDE-ELISABETH;;ASGEIRSDOTTIR;1945.12.27 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;HOLLAVEIEN 21;7200;KYRKSÆTERØRA;
1003070;59055821520;VIDAR SEBASTIAN;;DOMBRAUSKAS;1958.05.19 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;V/ÅSHILD ØYRE 6858 FARDAL;6858;FARDAL;
1003097;51127522212;ELSE EDITH;;SØRBØ-TORKILDSEN;1975.12.11 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;C/O ADVOKAT STEIN CARL HALLE RÅDHUSGT. 23 0158 OSLO;0158;OSLO;
1003127;18097425139;NIKOLAI D;;FJELLVIKÅS;1974.09.18 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;DOKTORDALVEGEN 6;9010;TROMSØ;
1003151;24125025222;LISA MARCELA;WANJIRU;AHMADI SHOLLI;1950.12.24 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;H0202 ULLERNVEIEN 2 A;0280;OSLO;
1003178;15086316932;COLIN RUSSELL;;AXEN;1963.08.15 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;APOLLOVEIEN 18;3213;SANDEFJORD;
1003216;13034718185;RUBEN OSCAR;;RAKITIN;1947.03.13 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;DRONNINGÅSEN 71;4032;STAVANGER;
1003224;08038508289;KIJA;GJULEM;BLID;1985.03.08 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;LILLESTRØMVEIEN 709;1912;ENEBAKK;
1003232;67018010825;KITT HELENE;;KILSTI;1980.01.27 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;BJURSÄTRAGATAN 98 S-124 64 BANDHAGEN SVERIGE;;;landkoder:SE
1003240;15058016532;ROY ALFRED;;AL-ZAIDI;1980.05.15 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;LILLEAKERVEIEN 33 A;0284;OSLO;
1003282;17056809848;VENDELA SOPHIA;;SKÅLHEGG;1968.05.17 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;KAPELLVEIEN 3;3538;SOLLIHØGDA;
1003305;01033940447;ERIKA ISABEL;;NERBØVIK;1939.03.01 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;ALFHEIMVEGEN 23;7715;STEINKJER;
1003313;04056700507;JOHAN MAGNUS;;DAHIR HIRAY;1967.05.04 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;GRINDBRÅTAN 17 B;1484;HAKADAL;
1003348;10038517355;SIGVE INGE;;PARWIN;1985.03.10 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;FJÆREVEIEN 16;4885;GRIMSTAD;
1003364;08088618808;PRINCESS NICOLE;FOSSHOLT;LINKEVYCH;1986.08.08 00:00:00;;kjonn:2;2013.10.07 11:06:00;;SLETTA 5;3300;HOKKSUND;
1003372;03064712747;NICHOLAS WAYNE;;ROMANOWSKI;1947.06.03 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;GREVLINGVEIEN 35 B;4329;SANDNES;
1003399;13075148822;ALICE LOUISE;IVABAKKEN;RÜTSCHE;1951.07.13 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;KJØKKELVIKVEIEN 72;5178;LODDEFJORD;
1003402;21014320749;KRISTOFFER ELIAS;;ACKLAND;1943.01.21 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;TVERRBRAUT 5;4018;STAVANGER;
1003410;21018103599;AUKE;HERON;SÆTERÅS;1981.01.21 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;AUSTRÅTTVEIEN 61 B;4326;SANDNES;
1003429;25017230126;MARCUS ANTONIUS;;NAMSONS;1972.01.25 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;ENGANE 9;6063;HJØRUNGAVÅG;
1003437;06044949197;MANUEL RODAS;;KIRKBAK;1949.04.06 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;LÅGENVEGEN 15 A;2615;LILLEHAMMER;
1003453;05115544022;HENNY ANN;;ALFER;1955.11.05 00:00:00;;kjonn:2;2014.10.20 12:22:00;landkoder:NO;SVARTEDABBE 55;4870;FEVIK;
1003488;17098620273;HEIDI VERONIKA;;BONDARA;1986.09.17 00:00:00;;kjonn:2;2013.10.07 11:06:00;;MARIHAUGEN 29 B;5302;STRUSSHAMN;
1003518;30125631394;KRISTIAN TORBJØRN;;PARVU;1956.12.30 00:00:00;;kjonn:1;2013.10.07 11:06:00;;DUES VEI 38;4023;STAVANGER;
1003542;08017118189;BASHIR ISMAIL;;DVERGSTEN;1971.01.08 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;BORGUNDVEGEN 627 A;6016;ÅLESUND;
1003550;10027241773;CRAIG DEAN;;FERAD;1972.02.10 00:00:00;;kjonn:1;2014.10.20 12:22:00;landkoder:NO;NORD-LADDERUDVEGEN 17;2070;RÅHOLT;
